indic_se,l_serv,nace_r2,sex,sizeclas,unit,time\geo	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	ES 	FR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	CH 	AL 	RS 
ERN,Y15-19,B-F,F,TOTAL,PPS,2018	: 	6 	8.8 	: 	18.88 	7.18 	18.26 	12.86 	: 	: 	9.72 	7.18 	7.71 	: 	8.17 	: 	15.2 	: 	9.99 	: 	: 	10.63 	7.6 	: 	: 	16.1 	: 	22.67 	19.86 	: 	: 
ERN,Y15-19,B-F,M,GE10,EUR,2018	24.09 	4.05 	8.67 	37.85 	26.94 	9.11 	30.89 	14.41 	20.31 	16.87 	11.68 	7.32 	6.42 	22.88 	6.6 	12.84 	22.79 	22.82 	7.1 	7.97 	5.68 	11.22 	8.2 	23.12 	22.86 	22.81 	32.79 	37.83 	39.4 	2.82 	4 
ERN,Y15-19,B-F,M,GE10,NAC,2018	24.09 	7.91 	222.25 	282.08 	26.94 	9.11 	30.89 	14.41 	20.31 	16.87 	11.68 	7.32 	6.42 	22.88 	2105.28 	12.84 	22.79 	22.82 	30.26 	7.97 	26.42 	11.22 	8.2 	23.12 	234.49 	20.18 	4193.23 	363.04 	45.51 	360.13 	473.58 
ERN,Y15-19,B-F,M,GE10,PPS,2018	20.99 	7.78 	11.8 	26.74 	25.22 	10.97 	23.28 	15.05 	17.87 	16.3 	12.98 	9.57 	9.45 	17.67 	10.24 	15.07 	19.74 	20.38 	11.93 	8.94 	10.49 	12.86 	10.28 	18.35 	18.49 	18.99 	20.2 	25.05 	25.26 	5.22 	7.19 
ERN,Y15-19,B-F,M,TOTAL,EUR,2018	: 	3.94 	8.3 	: 	26.36 	8.66 	30.34 	13.93 	: 	: 	10.13 	7.06 	6.19 	: 	6.43 	: 	22.76 	: 	7.08 	: 	: 	10.82 	8.06 	: 	: 	22.25 	: 	37.34 	39.11 	: 	: 
ERN,Y15-19,B-F,M,TOTAL,NAC,2018	: 	7.71 	212.77 	: 	26.36 	8.66 	30.34 	13.93 	: 	: 	10.13 	7.06 	6.19 	: 	2050.54 	: 	22.76 	: 	30.15 	: 	: 	10.82 	8.06 	: 	: 	19.69 	: 	358.33 	45.17 	: 	: 
ERN,Y15-19,B-F,M,TOTAL,PPS,2018	: 	7.58 	11.3 	: 	24.67 	10.44 	22.86 	14.55 	: 	: 	11.27 	9.23 	9.11 	: 	9.98 	: 	19.71 	: 	11.88 	: 	: 	12.41 	10.11 	: 	: 	18.53 	: 	24.72 	25.07 	: 	: 
ERN,Y15-19,B-F,T,GE10,EUR,2018	23.19 	3.68 	8 	36.69 	25.5 	7.92 	28.77 	13.97 	19.84 	16.1 	10.64 	6.62 	5.94 	22.71 	6.17 	12.01 	21.76 	21.78 	6.78 	7.33 	5.18 	10.61 	7.53 	22.63 	22.73 	22.16 	31.54 	37.23 	37.56 	2.51 	3.99 
ERN,Y15-19,B-F,T,GE10,NAC,2018	23.19 	7.19 	205.27 	273.48 	25.5 	7.92 	28.77 	13.97 	19.84 	16.1 	10.64 	6.62 	5.94 	22.71 	1966.52 	12.01 	21.76 	21.78 	28.9 	7.33 	24.1 	10.61 	7.53 	22.63 	233.13 	19.61 	4033.64 	357.35 	43.38 	320.11 	472.2 
ERN,Y15-19,B-F,T,GE10,PPS,2018	20.2 	7.07 	10.9 	25.92 	23.87 	9.55 	21.68 	14.6 	17.46 	15.55 	11.83 	8.65 	8.75 	17.54 	9.57 	14.11 	18.84 	19.45 	11.39 	8.23 	9.57 	12.17 	9.45 	17.96 	18.39 	18.45 	19.43 	24.65 	24.08 	4.64 	7.17 
ERN,Y15-19,B-F,T,TOTAL,EUR,2018	: 	3.6 	7.74 	: 	24.79 	7.62 	28.22 	13.53 	: 	: 	9.68 	6.45 	5.79 	: 	6.05 	: 	21.66 	: 	6.75 	: 	: 	10.37 	7.42 	: 	: 	21.59 	: 	36.8 	37.19 	: 	: 
ERN,Y15-19,B-F,T,TOTAL,NAC,2018	: 	7.03 	198.43 	: 	24.79 	7.62 	28.22 	13.53 	: 	: 	9.68 	6.45 	5.79 	: 	1930.03 	: 	21.66 	: 	28.78 	: 	: 	10.37 	7.42 	: 	: 	19.1 	: 	353.23 	42.95 	: 	: 
